regime,stocks,crypto,commodities,stablecoins,cash
Recovery,0.3928068906738552,0.029166000138361462,0.47369716493452413,0.002548503244919629,0.10178144100833961
Contraction,0.0,0.020920205293443395,0.6603384678663021,0.15937066342012726,0.15937066342012732
Stagflation,0.5441181588630634,0.08262672206168974,1.760420574725378e-17,0.18662755953762356,0.1866275595376234
Overheating,0.39747521865407315,0.07001253172847896,0.1802910736997232,0.17611058795886245,0.1761105879588622
